------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04B3 5600 5342 10
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 205
time diff [logger-smartphone](sec), -15
lat, 36.618139
long, -121.895951
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2024-05-03 16:21:49,NA
2024-05-03 16:22:09,NA
2024-05-03 16:22:29,17.4
2024-05-03 16:22:49,17.4
2024-05-03 16:23:09,17.3
2024-05-03 16:23:29,17.3
2024-05-03 16:23:49,17.3
2024-05-03 16:24:09,17.2
2024-05-03 16:24:29,17.2
2024-05-03 16:24:49,17.2
2024-05-03 16:25:09,17.1
2024-05-03 16:25:29,17.2
2024-05-03 16:25:49,17.1
2024-05-03 16:26:09,17.0
2024-05-03 16:26:29,17.0
2024-05-03 16:26:49,17.0
2024-05-03 16:27:09,16.9
2024-05-03 16:27:29,16.9
2024-05-03 16:27:49,16.9
2024-05-03 16:28:09,16.8
2024-05-03 16:28:29,15.9
2024-05-03 16:28:49,15.0
2024-05-03 16:29:09,14.3
2024-05-03 16:29:29,13.7
2024-05-03 16:29:49,13.3
2024-05-03 16:30:09,13.0
2024-05-03 16:30:29,12.7
2024-05-03 16:30:49,12.5
2024-05-03 16:31:09,12.3
2024-05-03 16:31:29,12.1
2024-05-03 16:31:49,12.0
2024-05-03 16:32:09,11.9
2024-05-03 16:32:29,11.8
2024-05-03 16:32:49,11.8
2024-05-03 16:33:09,11.7
2024-05-03 16:33:29,11.7
2024-05-03 16:33:49,11.6
2024-05-03 16:34:09,11.6
2024-05-03 16:34:29,11.6
2024-05-03 16:34:49,11.6
2024-05-03 16:35:09,11.6
2024-05-03 16:35:29,11.6
2024-05-03 16:35:49,11.6
2024-05-03 16:36:09,11.6
2024-05-03 16:36:29,11.5
2024-05-03 16:36:49,11.5
2024-05-03 16:37:09,11.6
2024-05-03 16:37:29,11.5
2024-05-03 16:37:49,11.6
2024-05-03 16:38:09,11.6
2024-05-03 16:38:29,11.6
2024-05-03 16:38:49,11.6
2024-05-03 16:39:09,11.6
2024-05-03 16:39:29,11.6
2024-05-03 16:39:49,11.6
2024-05-03 16:40:09,11.5
2024-05-03 16:40:29,11.5
2024-05-03 16:40:49,11.5
2024-05-03 16:41:09,11.5
2024-05-03 16:41:29,11.4
2024-05-03 16:41:49,11.4
2024-05-03 16:42:09,11.4
2024-05-03 16:42:29,11.5
2024-05-03 16:42:49,11.4
2024-05-03 16:43:09,11.5
2024-05-03 16:43:29,11.4
2024-05-03 16:43:49,11.4
