------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04D4 4900 4521 04
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 176
time diff [logger-smartphone](sec), -2
lat, 36.618187
long, -121.895876
accuracy (m), 4.8
------------------------------,--------------------
time,temp
2024-05-03 16:24:40,NA
2024-05-03 16:25:00,16.9
2024-05-03 16:25:20,17.0
2024-05-03 16:25:40,16.9
2024-05-03 16:26:00,16.8
2024-05-03 16:26:20,16.8
2024-05-03 16:26:40,16.8
2024-05-03 16:27:00,16.7
2024-05-03 16:27:20,16.7
2024-05-03 16:27:40,16.6
2024-05-03 16:28:00,16.6
2024-05-03 16:28:20,16.6
2024-05-03 16:28:40,16.1
2024-05-03 16:29:00,15.8
2024-05-03 16:29:20,15.4
2024-05-03 16:29:40,15.2
2024-05-03 16:30:00,15.0
2024-05-03 16:30:20,14.9
2024-05-03 16:30:40,14.7
2024-05-03 16:31:00,14.6
2024-05-03 16:31:20,14.6
2024-05-03 16:31:40,14.5
2024-05-03 16:32:00,14.4
2024-05-03 16:32:20,14.4
2024-05-03 16:32:40,14.4
2024-05-03 16:33:00,14.3
2024-05-03 16:33:20,14.3
2024-05-03 16:33:40,14.3
2024-05-03 16:34:00,14.3
2024-05-03 16:34:20,14.3
2024-05-03 16:34:40,14.3
2024-05-03 16:35:00,14.3
2024-05-03 16:35:20,14.3
2024-05-03 16:35:40,14.3
2024-05-03 16:36:00,14.3
2024-05-03 16:36:20,14.3
2024-05-03 16:36:40,14.3
2024-05-03 16:37:00,14.3
2024-05-03 16:37:20,14.2
2024-05-03 16:37:40,14.3
2024-05-03 16:38:00,14.3
2024-05-03 16:38:20,14.3
2024-05-03 16:38:40,14.3
2024-05-03 16:39:00,14.2
2024-05-03 16:39:20,14.3
2024-05-03 16:39:40,14.3
2024-05-03 16:40:00,14.3
2024-05-03 16:40:20,14.2
2024-05-03 16:40:40,14.2
2024-05-03 16:41:00,14.2
2024-05-03 16:41:20,14.2
2024-05-03 16:41:40,14.2
2024-05-03 16:42:00,14.2
2024-05-03 16:42:20,14.2
2024-05-03 16:42:40,14.2
2024-05-03 16:43:00,14.2
2024-05-03 16:43:20,14.2
2024-05-03 16:43:40,14.2
2024-05-03 16:44:00,14.2
2024-05-03 16:44:20,14.2
2024-05-03 16:44:40,14.2
2024-05-03 16:45:00,14.2
2024-05-03 16:45:20,14.2
2024-05-03 16:45:40,14.1
2024-05-03 16:46:00,14.2
2024-05-03 16:46:20,14.2
2024-05-03 16:46:40,14.2
