------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, 2.4
EnvLogger Viewer version, 1.15
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04EB 2400 3754 0B
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4009
time diff [logger-smartphone](sec), -1627398724
lat, No GPS fix
long, No GPS fix
accuracy (m), NA
------------------------------,--------------------
time,temp
2021-06-29 19:09:55,17.2
2021-06-29 19:19:55,17.2
2021-06-29 19:29:55,17.3
2021-06-29 19:39:55,17.2
2021-06-29 19:49:55,17.2
2021-06-29 19:59:55,17.1
2021-06-29 20:09:55,17.1
2021-06-29 20:19:55,17.1
2021-06-29 20:29:55,17.1
2021-06-29 20:39:55,17.0
2021-06-29 20:49:55,17.0
2021-06-29 20:59:55,16.9
2021-06-29 21:09:55,16.6
2021-06-29 21:19:55,16.7
2021-06-29 21:29:55,16.7
2021-06-29 21:39:55,16.6
2021-06-29 21:49:55,16.6
2021-06-29 21:59:55,16.5
2021-06-29 22:09:55,16.5
2021-06-29 22:19:55,16.5
2021-06-29 22:29:55,16.4
2021-06-29 22:39:55,16.2
2021-06-29 22:49:55,16.2
2021-06-29 22:59:55,16.1
2021-06-29 23:09:55,16.1
2021-06-29 23:19:55,16.1
2021-06-29 23:29:55,15.9
2021-06-29 23:39:55,16.0
2021-06-29 23:49:55,15.9
2021-06-29 23:59:55,16.1
2021-06-30 00:09:55,16.1
2021-06-30 00:19:55,16.2
2021-06-30 00:29:55,16.2
2021-06-30 00:39:55,16.2
2021-06-30 00:49:55,16.2
2021-06-30 00:59:55,16.2
2021-06-30 01:09:55,16.2
2021-06-30 01:19:55,16.2
2021-06-30 01:29:55,16.2
2021-06-30 01:39:55,16.3
2021-06-30 01:49:55,16.3
2021-06-30 01:59:55,16.3
2021-06-30 02:09:55,16.4
2021-06-30 02:19:55,16.3
2021-06-30 02:29:55,16.3
2021-06-30 02:39:55,16.3
2021-06-30 02:49:55,16.4
2021-06-30 02:59:55,16.3
2021-06-30 03:09:55,16.3
2021-06-30 03:19:55,16.3
2021-06-30 03:29:55,16.3
2021-06-30 03:39:55,16.3
2021-06-30 03:49:55,16.3
2021-06-30 03:59:55,16.2
2021-06-30 04:09:55,16.3
2021-06-30 04:19:55,16.3
2021-06-30 04:29:55,16.2
2021-06-30 04:39:55,16.2
2021-06-30 04:49:55,16.2
2021-06-30 04:59:55,16.3
2021-06-30 05:09:55,16.3
2021-06-30 05:19:55,16.2
2021-06-30 05:29:55,16.2
2021-06-30 05:39:55,16.1
2021-06-30 05:49:55,16.1
2021-06-30 05:59:55,16.0
