------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T7.3
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 043D 6E00 9A5A 04
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 14414
time diff [logger-smartphone](sec), -10
lat, 36.621396
long, -121.903976
accuracy (m), 4.9
------------------------------,--------------------
time,temp
2022-12-06 18:39:47,NA
2022-12-06 18:49:47,12.1
2022-12-06 18:59:47,11.9
2022-12-06 19:09:47,11.9
2022-12-06 19:19:47,11.8
2022-12-06 19:29:47,11.9
2022-12-06 19:39:47,12.0
2022-12-06 19:49:47,12.0
2022-12-06 19:59:47,12.1
2022-12-06 20:09:47,12.1
2022-12-06 20:19:47,12.0
2022-12-06 20:29:47,12.1
2022-12-06 20:39:47,12.1
2022-12-06 20:49:47,12.3
2022-12-06 20:59:47,12.3
2022-12-06 21:09:47,12.4
2022-12-06 21:19:47,12.4
2022-12-06 21:29:47,12.3
2022-12-06 21:39:47,12.3
2022-12-06 21:49:47,12.4
2022-12-06 21:59:47,12.3
2022-12-06 22:09:47,12.3
2022-12-06 22:19:47,12.3
2022-12-06 22:29:47,12.4
2022-12-06 22:39:47,12.4
2022-12-06 22:49:47,12.4
2022-12-06 22:59:47,13.8
2022-12-06 23:09:47,13.9
2022-12-06 23:19:47,14.3
2022-12-06 23:29:47,12.4
2022-12-06 23:39:47,12.4
2022-12-06 23:49:47,12.5
2022-12-06 23:59:47,12.5
2022-12-07 00:09:47,12.5
2022-12-07 00:19:47,12.1
2022-12-07 00:29:47,11.5
2022-12-07 00:39:47,11.0
2022-12-07 00:49:47,10.4
2022-12-07 00:59:47,10.0
2022-12-07 01:09:47,9.7
2022-12-07 01:19:47,9.4
2022-12-07 01:29:47,9.2
2022-12-07 01:39:47,9.0
2022-12-07 01:49:47,8.9
2022-12-07 01:59:47,9.0
2022-12-07 02:09:47,8.8
2022-12-07 02:19:47,8.7
2022-12-07 02:29:47,8.4
2022-12-07 02:39:47,8.2
2022-12-07 02:49:47,8.0
2022-12-07 02:59:47,7.9
2022-12-07 03:09:47,7.8
2022-12-07 03:19:47,7.5
2022-12-07 03:29:47,7.3
2022-12-07 03:39:47,7.2
2022-12-07 03:49:47,7.5
2022-12-07 03:59:47,7.2
2022-12-07 04:09:47,7.0
2022-12-07 04:19:47,7.1
2022-12-07 04:29:47,7.4
2022-12-07 04:39:47,8.7
2022-12-07 04:49:47,10.0
2022-12-07 04:59:47,11.2
2022-12-07 05:09:47,11.7
2022-12-07 05:19:47,11.9
2022-12-07 05:29:47,12.1
