"","year","month","week","jday","date","zone","metric","tempC"
"106",2021,7,29,198,2021-07-17,"mid","mean",13.6305555555556
"107",2021,7,29,198,2021-07-17,"mid","max",15.5
"108",2021,7,29,198,2021-07-17,"mid","min",12.8
"109",2021,7,29,199,2021-07-18,"high","mean",16.3451388888889
"110",2021,7,29,199,2021-07-18,"high","max",32.6
"111",2021,7,29,199,2021-07-18,"high","min",12.5
"112",2021,7,29,199,2021-07-18,"mid","mean",14.1555555555556
"113",2021,7,29,199,2021-07-18,"mid","max",15.9
"114",2021,7,29,199,2021-07-18,"mid","min",13.2
"115",2021,7,29,200,2021-07-19,"high","mean",16.3770833333333
"116",2021,7,29,200,2021-07-19,"high","max",32.9
"117",2021,7,29,200,2021-07-19,"high","min",12.7
"118",2021,7,29,200,2021-07-19,"mid","mean",14.4215277777778
"119",2021,7,29,200,2021-07-19,"mid","max",16.1
"120",2021,7,29,200,2021-07-19,"mid","min",13
"121",2021,7,29,201,2021-07-20,"high","mean",15.0861111111111
"122",2021,7,29,201,2021-07-20,"high","max",25.6
"123",2021,7,29,201,2021-07-20,"high","min",12.7
"124",2021,7,29,201,2021-07-20,"mid","mean",14.2840277777778
"125",2021,7,29,201,2021-07-20,"mid","max",15.5
"126",2021,7,29,201,2021-07-20,"mid","min",13.1
"127",2021,7,29,202,2021-07-21,"high","mean",15.1972222222222
"128",2021,7,29,202,2021-07-21,"high","max",23.9
"129",2021,7,29,202,2021-07-21,"high","min",12.6
"130",2021,7,29,202,2021-07-21,"mid","mean",14.5298611111111
"131",2021,7,29,202,2021-07-21,"mid","max",16.2
"132",2021,7,29,202,2021-07-21,"mid","min",13.1
"133",2021,7,29,203,2021-07-22,"high","mean",14.8458333333333
"134",2021,7,29,203,2021-07-22,"high","max",18.7
"135",2021,7,29,203,2021-07-22,"high","min",12.3
"136",2021,7,29,203,2021-07-22,"mid","mean",14.7013888888889
"137",2021,7,29,203,2021-07-22,"mid","max",15.6
"138",2021,7,29,203,2021-07-22,"mid","min",13.1
"139",2021,7,30,204,2021-07-23,"high","mean",16.075
"140",2021,7,30,204,2021-07-23,"high","max",32.9
"141",2021,7,30,204,2021-07-23,"high","min",12.8
"142",2021,7,30,204,2021-07-23,"mid","mean",14.7881944444444
"143",2021,7,30,204,2021-07-23,"mid","max",16.7
