time,temp,file_i,serial
2022-12-06T18:39:08Z,NA,1,04DF 7800 E606 09
2022-12-06T18:49:08Z,12.1,1,04DF 7800 E606 09
2022-12-06T18:59:08Z,11.7,1,04DF 7800 E606 09
2022-12-06T19:09:08Z,11.7,1,04DF 7800 E606 09
2022-12-06T19:19:08Z,11.7,1,04DF 7800 E606 09
2022-12-06T19:29:08Z,11.8,1,04DF 7800 E606 09
2022-12-06T19:39:08Z,11.8,1,04DF 7800 E606 09
2022-12-06T19:49:08Z,11.8,1,04DF 7800 E606 09
2022-12-06T19:59:08Z,11.9,1,04DF 7800 E606 09
2022-12-06T20:09:08Z,11.8,1,04DF 7800 E606 09
2022-12-06T20:19:08Z,11.9,1,04DF 7800 E606 09
2022-12-06T20:29:08Z,12,1,04DF 7800 E606 09
2022-12-06T20:39:08Z,12,1,04DF 7800 E606 09
2022-12-06T20:49:08Z,12.1,1,04DF 7800 E606 09
2022-12-06T20:59:08Z,12.1,1,04DF 7800 E606 09
2022-12-06T21:09:08Z,12.1,1,04DF 7800 E606 09
2022-12-06T21:19:08Z,12.3,1,04DF 7800 E606 09
2022-12-06T21:29:08Z,12.1,1,04DF 7800 E606 09
2022-12-06T21:39:08Z,12.1,1,04DF 7800 E606 09
2022-12-06T21:49:08Z,12.1,1,04DF 7800 E606 09
2022-12-06T21:59:08Z,12.2,1,04DF 7800 E606 09
2022-12-06T22:09:08Z,12.2,1,04DF 7800 E606 09
2022-12-06T22:19:08Z,12.2,1,04DF 7800 E606 09
2022-12-06T22:29:08Z,12.2,1,04DF 7800 E606 09
2022-12-06T22:39:08Z,12.2,1,04DF 7800 E606 09
2022-12-06T22:49:08Z,12.3,1,04DF 7800 E606 09
2022-12-06T22:59:08Z,13,1,04DF 7800 E606 09
2022-12-06T23:09:08Z,13.6,1,04DF 7800 E606 09
2022-12-06T23:19:08Z,15,1,04DF 7800 E606 09
2022-12-06T23:29:08Z,12.9,1,04DF 7800 E606 09
2022-12-06T23:39:08Z,12.6,1,04DF 7800 E606 09
2022-12-06T23:49:08Z,12.5,1,04DF 7800 E606 09
2022-12-06T23:59:08Z,12.6,1,04DF 7800 E606 09
2022-12-07T00:09:08Z,12.6,1,04DF 7800 E606 09
2022-12-07T00:19:08Z,12.2,1,04DF 7800 E606 09
2022-12-07T00:29:08Z,11.7,1,04DF 7800 E606 09
